,0,1
0,Wed Oct 09 14:28:47 +0000 2024,"Vendo 2 entradas VIP para ver a Vanessa Valero para hoy a las 21:00 en Wizik Center, Madrid. https://t.co/z7Z158ZQ6h"
1,Wed Oct 09 14:28:46 +0000 2024,"@todoesmentiratv La PREGUNTA es ¿quién debe responsabilizarse de que se votará a favor? 
Cuando hay un fallo en cualquier empresa se busca al responsable para despedirle si el fallo es importante.
Ayer contasteis que les advirtieron desde un periódico y dijeron que no afectaba
@ristomejide"
2,Thu Sep 19 01:00:00 +0000 2024,"Celebrate Prof. Oscar Garcia-Prada's 60th birthday with a special issue of the International Journal of Mathematics! 🎉 

Read tributes and contributions from leading mathematicians for FREE, limited time only: https://t.co/rmmsKpgcgO

#Mathematics #OscarGarciaPrada"
3,Wed Oct 09 14:28:46 +0000 2024,@maguire_utd1 He fit to play Madrid
4,Wed Oct 09 14:28:45 +0000 2024,"@theMadridZone @CH14_ Man United gave Real Madrid so many of their talents
Real Madrid should appreciate us more"
5,Wed Oct 09 14:28:44 +0000 2024,i jus realized i always wanted big baller brand sweater when i was a kid i could afford it now 🤔
6,Wed Oct 09 14:28:44 +0000 2024,And in #London no less ... As did Cristiano did in #Lisboa and Gareth bale in #Cardiff and Karim Benzema in #Paris Real Madrid de mi vida ♥️
7,Wed Oct 02 13:06:34 +0000 2024,⚔️ Only 0.01% can complete 😲 Claim your place among legends! 🏆 Hero Wars: Idle RPG 💎 TRY Now in Your Browser.
8,Wed Oct 09 14:28:42 +0000 2024,"الوحدة فولهام

▬نمشؾ▬
◗CX10◖

▬ٺون▬
◗EWW◖"
9,Wed Oct 09 14:28:40 +0000 2024,"الوحدة بورتو ماينز

▬نمشؾ▬
◗CX10◖

▬ٺون▬
◗EWW◖"
10,Wed Oct 09 14:28:39 +0000 2024,@LemoncielArt Gracias 🥺💜 al final iré a pista general
11,Wed Oct 09 14:28:38 +0000 2024,"@Desde_1902_ @ElInmortal____ Cristiano aún es el mejor jugador de los últimos 20 años del Manchester United.

Cristiano es el mejor jugador de la historia del Madrid.

Cristiano aún es el máximo goleador de la Juventus desde el 2018.

Cristiano es el mejor jugador de la historia de la selección."
12,Mon Sep 30 11:05:54 +0000 2024,"Aloita treenit kympillä! 1.-13.10.2024 liittyminen ja 1. treenikk 10 euroa (etusi 54,80 €)!"
13,Wed Oct 09 14:28:37 +0000 2024,@idextratime @FIFAWorldCup anjay king indo mode madrid
14,Wed Oct 09 14:28:37 +0000 2024,Neymar was laughing after Brazil lost a final and that Brazilian wannabe wants to tell us Brazil has higher standards than Real Madrid 😭
15,Wed Oct 09 14:28:35 +0000 2024,"@DougieCritchley @I_AM_dil He's certainly capable/worthy but he's made a reputation of developing teams and over performing with 'under dogs', doesn't feel very Madrid to me personally"
16,Wed Oct 09 14:28:35 +0000 2024,"@Tercer_Canal @juliandezubiria @InstitutoMerani @jairoriverah Muy importantes sus reflexiones, es determinante que hablen de educación quienes saben del tema. Es valiosa su difusión en estas redes."
17,Wed Oct 09 14:28:34 +0000 2024,"@notluisdelpi No bueno amigo ajajajaajja estas comparando a julian jugando contra Colón... COLÓN!!!! Y con Guardiola jugaba contra el liverpool y con el cholo contra el Madrid 

PD: aunque con el cholo si banco que hace jugar horrible a los jugadores"
18,Wed Oct 09 14:28:34 +0000 2024,"@aaan_9 Literal, si viviera en Madrid no lo pensaba"
19,Wed Oct 09 14:28:34 +0000 2024,"@Patrioticos_RD It's so refreshing to have a political leader stand up for our western values. Our countries are being raped by muslim extremists. London, Paris, Berlin, Rome, Madrid, Lisbon, New York... The west is under siege. Enough is enough, we tried to give them a better life, it failed!"
20,Wed Oct 09 14:28:34 +0000 2024,El problema de Pilar es que es estudiosa de los radicales islamistas y simpatizante de Israel. A mi me recuerda la misma absurdidad que por ser del Barça vayas en contra del Madrid. El sectarismo esta en todas las favetas de la sociedad.
21,Wed Oct 09 14:28:33 +0000 2024,"@theMadridZone @marca Unrelated: Thesame way i dont like Madridsta disrespecting Rodrygo, that guy is suppose to be in the 1st 11 each match day. That guy has done so much foe Madrid to deserve that."
22,Wed Oct 09 14:28:32 +0000 2024,Doing that once or twice per game vs 90 minutes.  That's how I know Real Madrid retards don't watch football.
